id,female,democrat
10713,0,1
14066,0,0
14263,0,1
14657,0,0
14854,0,0
14863,0,0
14873,0,1
15019,0,1
15029,1,1
15033,0,1
15085,0,0
15124,0,1
15410,0,1
15431,0,1
15438,0,1
15444,1,1
15445,0,0
15446,0,0
15448,1,1
15454,0,1
15455,0,0
15603,0,1
15612,1,1
15616,0,1
15621,0,0
15634,1,0
20104,0,1
20107,0,0
20108,1,1
20119,0,1
20122,1,1
20124,0,0
20130,0,0
20134,0,0
20136,0,1
20138,0,0
20139,0,0
20145,0,1
20147,0,1
20301,0,0
20304,0,0
20305,0,1
20307,0,0
20310,1,1
20316,0,0
20321,0,1
20325,0,0
20329,0,1
20337,0,0
20340,0,1
20342,0,0
20343,0,1
20344,0,0
20346,0,0
20351,1,0
20352,0,0
20355,0,0
20356,0,0
20357,0,0
20501,0,1
20504,1,1
20505,0,0
20508,0,1
20517,0,1
20518,0,0
20519,0,1
20521,1,0
20522,0,0
20526,0,0
20527,0,0
20528,0,0
20529,0,1
20530,0,0
20531,0,0
20532,0,0
20533,0,1
20535,1,0
20536,0,0
20537,1,1
20538,1,1
20542,0,1
20702,0,1
20703,0,0
20704,0,0
20705,0,1
20706,0,1
20708,1,1
20709,0,0
20712,0,1
20715,0,0
20720,0,1
20723,0,1
20724,0,1
20725,0,0
20726,0,1
20727,0,1
20729,0,0
20731,1,1
20733,1,1
20738,0,0
20748,0,1
20749,0,1
20750,0,1
20754,1,1
20755,0,0
20756,0,0
20757,0,1
20758,0,0
20759,0,0
20762,1,1
20903,0,0
20904,0,1
20906,0,0
20907,0,1
20909,0,0
20910,0,0
20915,1,0
20916,0,0
20920,1,1
20924,0,0
20925,0,0
20926,0,0
20927,1,1
20929,0,0
20932,0,1
20934,0,1
20941,1,1
20944,0,1
20946,0,0
20947,0,0
20948,0,0
20949,0,0
20952,0,1
20954,0,1
20955,1,1
20958,0,1
20959,0,1
20962,0,0
20963,0,0
21101,0,0
21102,1,1
21103,0,0
21105,0,0
21106,0,0
21108,0,0
21109,0,0
21110,1,1
21111,0,0
21116,0,0
21117,0,0
21118,1,1
21122,0,0
21123,0,0
21124,1,1
21125,0,0
21128,0,0
21129,0,0
21131,0,0
21132,0,0
21135,0,0
21137,0,1
21139,0,0
21140,0,1
21142,0,0
21143,0,0
21148,0,0
21149,1,0
21150,0,0
21162,0,0
21163,0,0
21164,0,0
21165,0,0
21167,0,0
21168,0,0
21170,0,0
21171,0,0
21172,0,1
21174,0,0
21175,0,0
21176,0,0
21177,1,0
21178,0,0
21179,0,0
21180,1,0
21182,0,0
21184,0,0
21187,1,0
21188,0,0
21189,0,0
21191,0,0
21192,1,0
21193,0,0
21196,0,0
21198,1,1
21300,1,1
21302,0,0
21303,0,1
21304,0,1
21305,0,0
21306,0,1
21307,0,0
21308,1,1
21309,0,1
21311,0,1
21312,0,1
21313,0,1
21314,0,1
21315,0,1
21316,1,1
21317,0,0
21318,0,0
21321,1,1
21323,0,0
21324,1,1
21326,0,1
21328,0,0
21329,1,1
21330,1,0
21331,1,0
21332,0,0
21333,0,0
21334,0,1
21335,0,1
21337,1,0
21340,1,1
21341,1,1
21342,1,1
21343,0,1
21344,0,1
21345,0,0
21346,0,0
21347,0,0
21348,0,0
21349,0,0
21350,0,0
21351,0,0
21352,1,1
21353,0,0
21354,0,0
21355,0,0
21356,0,0
21357,0,0
21358,0,1
21359,0,0
21360,0,0
21361,0,1
21362,0,1
21364,0,0
21365,0,1
21366,0,1
21367,0,0
21368,0,1
21369,0,1
21370,0,1
21371,1,1
21372,0,1
21373,0,0
21375,1,1
21376,0,0
21500,0,0
21501,1,0
21502,0,1
21503,0,0
21504,0,1
21505,0,0
21506,0,1
21507,0,1
21508,1,1
21509,1,0
21510,0,0
21512,0,0
21513,0,0
21514,0,0
21515,0,0
21516,0,0
21519,0,0
21520,0,0
21521,0,0
21522,0,0
21523,0,0
21524,0,0
21525,0,1
21526,0,0
21527,0,0
21528,0,0
21529,1,1
21530,1,1
21531,0,0
21532,0,0
21536,0,1
21537,0,0
21538,1,1
21539,0,0
21540,1,1
21541,1,0
21542,0,0
21543,0,0
21544,0,0
21545,1,1
21546,0,0
21547,0,0
21548,0,1
21549,0,0
21550,0,0
21551,0,0
21552,1,0
21553,0,0
21554,0,1
21555,1,0
21556,0,0
21557,0,0
21558,0,0
21559,0,0
21560,0,0
21561,0,0
21562,0,0
21563,0,0
21564,0,0
21565,0,0
21566,0,1
21700,0,0
21701,0,0
21702,0,0
21703,1,1
21704,0,0
21705,0,0
21706,0,1
21707,0,1
21708,0,0
21709,0,1
21710,1,0
21711,0,1
21712,0,1
21713,1,1
21714,0,0
21715,0,1
21716,0,0
21717,0,0
21718,0,0
21719,0,0
21720,0,0
21721,0,0
21722,0,1
21723,0,1
21724,0,0
21725,0,0
21726,1,1
21727,0,0
21728,0,1
21729,0,1
21730,0,1
21731,0,0
21732,0,1
21733,0,0
21734,0,0
21735,0,0
21736,0,1
21737,0,0
21738,1,1
21739,0,1
21740,0,1
21741,0,1
21742,0,0
21743,1,1
21744,0,0
21745,0,0
21746,0,1
21747,0,1
21748,0,0
21749,0,0
21750,0,0
21751,0,0
21752,1,0
21753,0,0
21754,0,1
21755,0,0
29106,1,1
29109,1,1
29127,0,1
29134,0,1
29143,0,0
29312,1,1
29317,1,1
29321,0,0
29323,0,0
29337,0,1
29339,0,1
29346,0,1
29348,0,1
29368,0,1
29375,0,0
29377,0,1
29378,1,1
29379,1,1
29393,0,0
29504,1,1
29539,0,0
29541,0,0
29546,0,0
29550,0,0
29561,0,1
29565,0,0
29571,0,1
29572,0,0
29573,1,1
29587,0,1
29588,0,1
29701,0,0
29707,0,1
29710,1,1
29717,0,1
29718,0,0
29729,0,1
29741,0,1
29759,0,0
29760,0,0
29762,1,0
29768,0,1
29769,0,1
29776,0,1
29777,0,1
29778,1,1
29901,0,1
29903,1,1
29908,0,1
29910,0,0
29911,1,1
29919,0,1
29925,0,1
29932,0,0
31101,1,1
31102,0,0
31103,0,1
39301,0,1
39304,0,1
39305,1,1
39307,0,1
39308,0,0
