name,user,id,real_name,state,party
941080085121175552,sendougjones,941080085121175552,Doug Jones,Alabama,Democratic
21111098,senshelby,21111098,Richard Shelby,Alabama,Republican
2891210047,sendansullivan,2891210047,Dan Sullivan,Alaska,Republican
18061669,lisamurkowski,18061669,Lisa Murkowski,Alaska,Republican
1080844782,senatorsinema,1080844782,Kyrsten Sinema,Arizona,Democratic
2964949642,senmcsallyaz,2964949642,Martha McSally,Arizona,Republican
968650362,sentomcotton,968650362,Tom Cotton,Arkansas,Republican
5558312,johnboozman,5558312,John Boozman,Arkansas,Republican
476256944,senfeinstein,476256944,Dianne Feinstein,California,Democratic
803694179079458816,senkamalaharris,803694179079458816,Kamala Harris,California,Democratic
235217558,sencorygardner,235217558,Cory Gardner,Colorado,Republican
224285242,senatorbennet,224285242,Michael Bennet,Colorado,Democratic
2853793517,senmurphyoffice,2853793517,Chris Murphy,Connecticut,Democratic
278124059,senblumenthal,278124059,Richard Blumenthal,Connecticut,Democratic
249787913,senatorcarper,249787913,Tom Carper,Delaware,Democratic
15324851,chriscoons,15324851,Chris Coons,Delaware,Democratic
229966028,senrubiopress,229966028,Marco Rubio,Florida,Republican
2863210809,sendavidperdue,2863210809,David Perdue,Georgia,Republican
78403308,senatorisakson,78403308,Johnny Isakson,NA,NA
92186819,maziehirono,92186819,Mazie Hirono,Hawaii,Democratic
1262099252,senbrianschatz,1262099252,Brian Schatz,Hawaii,Democratic
1096059529,senatorrisch,1096059529,Jim Risch,Idaho,Republican
600463589,mikecrapo,600463589,Mike Crapo,Idaho,Republican
247334603,senatordurbin,247334603,Dick Durbin,Illinois,Democratic
1058520120,senduckworth,1058520120,Tammy Duckworth,Illinois,Democratic
1080870981877534720,senatorbraun,1080870981877534720,Mike Braun,Indiana,Republican
234128524,sentoddyoung,234128524,Todd Young,Indiana,Republican
2856787757,senjoniernst,2856787757,Joni Ernst,Iowa,Republican
10615232,chuckgrassley,10615232,Chuck Grassley,Iowa,Republican
75364211,senpatroberts,75364211,Pat Roberts,Kansas,Republican
18632666,jerrymoran,18632666,Jerry Moran,Kansas,Republican
339822881,mcconnellpress,339822881,Mitch McConnell,Kentucky,Republican
216881337,randpaul,216881337,Rand Paul,Kentucky,Republican
816683274076614656,senjohnkennedy,816683274076614656,John Kennedy,Louisiana,Republican
1068481578,senangusking,1068481578,Angus King,Maine,Independent
19726613,senatorcollins,19726613,Susan Collins,Maine,Republican
109071031,senatorcardin,109071031,Ben Cardin,Maryland,Democratic
18137749,chrisvanhollen,18137749,Chris Van Hollen,Maryland,Democratic
970207298,senwarren,970207298,Elizabeth Warren,Massachusetts,Democratic
21406834,senmarkey,21406834,Ed Markey,Massachusetts,Democratic
76456274,senstabenow,76456274,Debbie Stabenow,Michigan,Democratic
236511574,sengarypeters,236511574,Gary Peters,Michigan,Democratic
22044727,senamyklobuchar,22044727,Amy Klobuchar,Minnesota,Democratic
941000686275387392,sentinasmith,941000686275387392,Tina Smith,Minnesota,Democratic
264219447,senatorwicker,264219447,Roger Wicker,Mississippi,Republican
983348251972816896,senhydesmith,983348251972816896,Cindy Hyde-Smith,Mississippi,Republican
1080960924687704064,senhawleypress,1080960924687704064,Josh Hawley,Missouri,Republican
21269970,royblunt,21269970,Roy Blunt,Missouri,Republican
515822213,senatortester,515822213,Jon Tester,Montana,Democratic
11651202,stevedaines,11651202,Steve Daines,Montana,Republican
1071402577,senatorfischer,1071402577,Deb Fischer,Nebraska,Republican
2962923040,sensasse,2962923040,Ben Sasse,Nebraska,Republican
818554054309715969,senjackyrosen,818554054309715969,Jacky Rosen,Nevada,Democratic
811313565760163844,sencortezmasto,811313565760163844,Catherine Cortez Masto,Nevada,Democratic
109287731,senatorshaheen,109287731,Jeanne Shaheen,New Hampshire,Democratic
946549322,senatorhassan,946549322,Maggie Hassan,New Hampshire,Democratic
18695134,senatormenendez,18695134,Robert Menendez,NA,NA
2167097881,senbooker,2167097881,Cory Booker,New Jersey,Democratic
1099199839,martinheinrich,1099199839,Martin Heinrich,New Mexico,Democratic
60828944,senatortomudall,60828944,Tom Udall,New Mexico,Democratic
899978622416695297,gillibrandny,899978622416695297,Kirsten Gillibrand,New York,Democratic
17494010,senschumer,17494010,Chuck Schumer,New York,Democratic
2964174789,senthomtillis,2964174789,Thom Tillis,North Carolina,Republican
21157904,senatorburr,21157904,Richard Burr,North Carolina,Republican
1048784496,senkevincramer,1048784496,Kevin Cramer,North Dakota,Republican
382791093,senjohnhoeven,382791093,John Hoeven,North Dakota,Republican
43910797,sensherrodbrown,43910797,Sherrod Brown,Ohio,Democratic
18915145,senrobportman,18915145,Rob Portman,Ohio,Republican
225921757,senatorlankford,225921757,James Lankford,Oklahoma,Republican
29201047,senjeffmerkley,29201047,Jeff Merkley,Oregon,Democratic
250188760,ronwyden,250188760,Ron Wyden,Oregon,Democratic
171598736,senbobcasey,171598736,Bob Casey Jr.,Pennsylvania,Democratic
221162525,sentoomey,221162525,Pat Toomey,Pennsylvania,Republican
242555999,senwhitehouse,242555999,Sheldon Whitehouse,Rhode Island,Democratic
486694111,senjackreed,486694111,Jack Reed,Rhode Island,Democratic
14845376,grahamblog,14845376,Lindsey Graham,South Carolina,Republican
217543151,senatortimscott,217543151,Tim Scott,South Carolina,Republican
2955485182,senatorrounds,2955485182,Mike Rounds,South Dakota,Republican
296361085,senjohnthune,296361085,John Thune,South Dakota,Republican
278145569,marshablackburn,278145569,Marsha Blackburn,Tennessee,Republican
76649729,senalexander,76649729,Lamar Alexander,Tennessee,Republican
1074480192,sentedcruz,1074480192,Ted Cruz,Texas,Republican
13218102,johncornyn,13218102,John Cornyn,Texas,Republican
1078693601356509184,senatorromney,1078693601356509184,Mitt Romney,Utah,Republican
88784440,senmikelee,88784440,Mike Lee,Utah,Republican
29442313,sensanders,29442313,Bernie Sanders,Vermont,Independent
242836537,senatorleahy,242836537,Patrick Leahy,Vermont,Democratic
7429102,markwarner,7429102,Mark Warner,Virginia,Democratic
117501995,senatorcantwell,117501995,Maria Cantwell,Washington,Democratic
293131808,pattymurray,293131808,Patty Murray,Washington,Democratic
234374703,sen_joemanchin,234374703,Joe Manchin,West Virginia,Democratic
193794406,sencapito,193794406,Shelley Moore Capito,West Virginia,Republican
1074518754,senatorbaldwin,1074518754,Tammy Baldwin,Wisconsin,Democratic
233737858,senronjohnson,233737858,Ron Johnson,Wisconsin,Republican
202206694,senjohnbarrasso,202206694,John Barrasso,Wyoming,Republican
291756142,senatorenzi,291756142,Mike Enzi,Wyoming,Republican
